quarter,ticker,company_name,exchange,sector,industry,is_vn30,close_price,quarter_return,return_1m,return_3m,return_6m,rsi14,volatility_63d,volume_avg,trading_value_avg,technical_score,fundamental_score,valuation_score,liquidity_score,risk_score,total_signal_score,signal_class,risk_level,base_total_signal_score,base_signal_class,vn30_return,vnindex_return,relative_strength_vs_vnindex,relative_strength_vs_vn30,relative_strength_score
2023Q1,STB,Sacombank,HOSE,Banking,Commercial Bank,1,26.2,11.49,2.34,19.63,29.06,60.17,41.04,18135204.41,455844556.66,100,50,50,100.0,20.0,70.0,Positive Signal,High Risk,69.5,Positive Signal,2.52,1.99,9.5,8.97,80
2023Q1,POW,PV Power,HOSE,Utilities,Power Generation,1,10.91,19.5,3.9,28.2,2.73,50.91,31.99,8485244.14,87119851.86,100,50,50,76.67,50.0,71.5,Positive Signal,Medium Risk,69.0,Positive Signal,2.52,1.99,17.51,16.98,100
2023Q1,VPB,VPBank,HOSE,Banking,Commercial Bank,1,18.22,13.8,21.63,22.36,13.8,76.98,34.21,19840051.83,326954488.66,85,50,50,93.33,43.33,69.58,Positive Signal,Medium Risk,66.33,Positive Signal,2.52,1.99,11.81,11.28,100
2023Q1,VRE,Vincom Retail,HOSE,Real Estate,Retail Real Estate,1,28.54,5.16,12.81,20.37,10.07,55.26,38.27,2272131.63,62655158.3,100,50,50,60.0,26.67,62.67,Neutral,Medium Risk,64.17,Neutral,2.52,1.99,3.17,2.64,60
2023Q1,ACB,ACB,HOSE,Banking,Commercial Bank,1,12.63,10.11,-0.16,13.17,13.68,57.56,28.17,3566417.1,44409970.5,90,50,50,43.33,73.33,64.33,Neutral,Medium Risk,63.33,Neutral,2.52,1.99,8.12,7.59,80
2023Q1,HDB,HDBank,HOSE,Banking,Commercial Bank,1,9.8,16.67,6.99,18.5,0.51,57.62,31.2,2280390.24,20926505.18,100,50,50,16.67,60.0,63.5,Neutral,Medium Risk,61.0,Neutral,2.52,1.99,14.68,14.15,100
2023Q1,CTG,VietinBank,HOSE,Banking,Commercial Bank,1,17.92,4.25,5.04,12.07,25.31,48.78,28.63,2788849.71,49995911.65,75,50,50,53.33,70.0,59.75,Neutral,Medium Risk,60.0,Neutral,2.52,1.99,2.26,1.73,60
2023Q1,TPB,TPBank,HOSE,Banking,Commercial Bank,1,11.48,12.44,3.52,17.26,-0.09,54.76,32.23,5719678.42,63775880.86,75,50,50,63.33,46.67,62.92,Neutral,Medium Risk,59.17,Neutral,2.52,1.99,10.45,9.92,100
2023Q1,VHM,Vinhomes,HOSE,Real Estate,Residential Real Estate,1,49.59,4.25,25.29,9.57,0.57,71.55,36.84,2341769.9,102829644.23,65,50,50,86.67,33.33,58.58,Neutral,Medium Risk,58.33,Neutral,2.52,1.99,2.26,1.73,60
2023Q1,MBB,Military Bank,HOSE,Banking,Commercial Bank,1,9.89,1.44,4.88,8.68,,65.65,27.18,8336053.32,82451232.0,55,50,50,70.0,80.0,56.25,Neutral,Medium Risk,57.5,Neutral,2.52,1.99,-0.55,-1.08,40
2023Q1,SSI,SSI Securities,HOSE,Securities,Brokerage,1,14.35,13.8,15.35,26.1,,65.66,45.09,15437018.27,205355372.14,65,50,50,90.0,13.33,61.08,Neutral,High Risk,56.83,Neutral,2.52,1.99,11.81,11.28,100
2023Q1,VIC,Vingroup,HOSE,Real Estate,Conglomerate / Real Estate,1,27.5,-3.17,4.17,3.97,-4.35,68.09,21.0,1669904.49,45287232.45,55,50,50,46.67,86.67,51.42,Neutral,Low Risk,54.67,Neutral,2.52,1.99,-5.16,-5.69,20
2023Q1,VCI,Vietcap Securities,HOSE,Securities,Brokerage,1,17.35,29.19,19.33,43.98,,65.82,54.51,5834065.42,89579118.67,65,50,50,80.0,3.33,58.58,Neutral,High Risk,54.33,Neutral,2.52,1.99,27.2,26.67,100
2023Q1,HPG,Hoa Phat Group,HOSE,Steel,Steel,1,14.07,8.06,1.01,21.71,-4.55,46.64,41.67,23469035.31,329632879.85,45,50,50,96.67,16.67,55.42,Neutral,High Risk,52.17,Neutral,2.52,1.99,6.07,5.54,80
2023Q1,TCB,Techcombank,HOSE,Banking,Commercial Bank,1,13.12,3.31,4.29,10.34,,65.16,30.44,3232674.19,41440866.06,55,50,50,40.0,63.33,52.08,Neutral,Medium Risk,51.33,Neutral,2.52,1.99,1.32,0.79,60
2023Q1,HCM,HSC Securities,HOSE,Securities,Brokerage,1,12.65,21.75,8.49,31.91,,59.74,50.18,5111011.92,60652046.36,65,50,50,56.67,6.67,55.42,Neutral,High Risk,51.17,Neutral,2.52,1.99,19.76,19.23,100
2023Q1,SAB,Sabeco,HOSE,Consumer,Beverage,1,75.23,9.86,-1.81,7.32,2.93,43.34,26.1,118545.56,8997710.64,60,50,50,6.67,83.33,52.33,Neutral,Medium Risk,49.83,Weak Signal,2.52,1.99,7.87,7.34,80
2023Q1,PLX,Petrolimex,HOSE,Energy,Petroleum Distribution,1,34.27,13.67,-3.11,23.99,11.85,46.46,34.64,943093.8,31919154.86,60,50,50,30.0,40.0,53.5,Neutral,Medium Risk,49.0,Weak Signal,2.52,1.99,11.68,11.15,100
2023Q1,VNM,Vinamilk,HOSE,Consumer,Dairy,1,60.43,-5.22,-2.75,-2.11,5.46,31.39,19.28,1460437.76,91404960.73,15,50,50,83.33,90.0,47.25,Weak Signal,Low Risk,48.5,Weak Signal,2.52,1.99,-7.21,-7.74,20
2023Q1,BCM,Becamex IDC,HOSE,Industrial Parks,Industrial Real Estate,1,79.18,-1.32,-1.32,6.28,-8.19,42.22,14.2,94161.03,7504746.16,45,50,50,3.33,100.0,45.75,Weak Signal,Low Risk,46.5,Weak Signal,2.52,1.99,-3.31,-3.84,40
2023Q1,FPT,FPT Corporation,HOSE,Technology,IT Services,1,48.52,-1.12,-1.12,3.54,,51.36,16.1,796975.49,39463740.17,30,50,50,33.33,96.67,46.17,Weak Signal,Low Risk,46.17,Weak Signal,2.52,1.99,-3.11,-3.64,40
2023Q1,VJC,Vietjet Air,HOSE,Transportation,Airlines,1,80.84,-5.91,3.44,-3.5,-4.55,59.38,31.84,292746.34,23836498.44,50,50,50,20.0,53.33,42.83,Weak Signal,Medium Risk,45.83,Weak Signal,2.52,1.99,-7.9,-8.43,20
2023Q1,KDH,Khang Dien House,HOSE,Real Estate,Residential Real Estate,1,20.74,-1.43,10.85,11.99,-6.11,60.2,40.18,1438092.27,29064137.29,55,50,50,26.67,23.33,44.08,Weak Signal,High Risk,45.33,Weak Signal,2.52,1.99,-3.42,-3.95,40
2023Q1,GVR,Vietnam Rubber Group,HOSE,Materials,Rubber / Industrial Materials,1,14.87,6.14,8.78,16.08,-28.34,56.67,45.23,2006907.53,28978788.31,55,50,50,23.33,10.0,44.25,Weak Signal,High Risk,43.5,Weak Signal,2.52,1.99,4.15,3.62,60
2023Q1,VCB,Vietcombank,HOSE,Banking,Commercial Bank,1,51.39,10.66,-1.93,15.85,,49.73,28.01,979333.02,49743659.08,15,50,50,50.0,76.67,46.92,Weak Signal,Medium Risk,42.17,Weak Signal,2.52,1.99,8.67,8.14,80
2023Q1,BID,BIDV,HOSE,Banking,Commercial Bank,1,33.51,12.15,-0.42,19.08,,49.68,37.92,1250625.31,40208933.68,30,50,50,36.67,30.0,46.0,Weak Signal,Medium Risk,40.0,Weak Signal,2.52,1.99,10.16,9.63,100
2023Q1,MSN,Masan Group,HOSE,Consumer,Consumer Goods,1,77.8,-18.96,-1.52,-14.97,-23.8,27.21,36.43,857241.22,73838462.52,10,50,50,66.67,36.67,38.17,Weak Signal,Medium Risk,39.17,Weak Signal,2.52,1.99,-20.95,-21.48,20
2023Q1,MWG,Mobile World,HOSE,Retail,Consumer Retail,1,37.34,-12.31,-4.35,-9.52,,43.94,31.79,2055501.54,85299899.0,0,50,50,73.33,56.67,38.67,Weak Signal,Medium Risk,39.17,Weak Signal,2.52,1.99,-14.3,-14.83,20
2023Q1,GAS,PV Gas,HOSE,Energy,Gas,1,70.27,-2.85,-2.85,-0.58,-1.91,19.21,18.09,218982.17,15932474.84,0,50,50,10.0,93.33,34.83,Risk Alert,Low Risk,33.33,Risk Alert,2.52,1.99,-4.84,-5.37,40
2023Q1,PNJ,Phu Nhuan Jewelry,HOSE,Retail,Jewelry Retail,1,48.24,-12.61,-3.25,-3.42,,34.59,29.27,354505.07,18394608.87,0,50,50,13.33,66.67,30.67,Risk Alert,Medium Risk,31.17,Risk Alert,2.52,1.99,-14.6,-15.13,20
2023Q2,ACB,ACB,HOSE,Banking,Commercial Bank,1,13.33,4.55,3.01,7.24,15.21,65.79,11.91,7009870.24,90218603.62,100,50,50,73.33,100.0,72.0,Positive Signal,Low Risk,73.5,Positive Signal,3.16,3.79,0.76,1.39,60
2023Q2,STB,Sacombank,HOSE,Banking,Commercial Bank,1,29.8,11.4,6.43,14.62,26.81,66.0,22.83,15746424.39,431024640.23,100,50,50,100.0,40.0,72.0,Positive Signal,High Risk,71.5,Positive Signal,3.16,3.79,7.61,8.24,80
2023Q2,CTG,VietinBank,HOSE,Banking,Commercial Bank,1,18.11,-1.47,5.54,1.74,6.72,64.53,16.35,3743807.56,65936479.88,100,50,50,53.33,73.33,62.33,Neutral,Medium Risk,67.83,Positive Signal,3.16,3.79,-5.26,-4.63,20
2023Q2,VPB,VPBank,HOSE,Banking,Commercial Bank,1,17.18,-6.38,2.32,-5.03,8.19,55.38,17.42,11863826.48,204472863.82,85,50,50,90.0,63.33,63.08,Neutral,Medium Risk,67.83,Positive Signal,3.16,3.79,-10.17,-9.54,20
2023Q2,HPG,Hoa Phat Group,HOSE,Steel,Steel,1,17.69,24.58,22.25,25.73,42.55,76.53,23.43,19825511.89,302265049.65,85,50,50,93.33,36.67,68.92,Positive Signal,High Risk,65.67,Positive Signal,3.16,3.79,20.79,21.42,100
2023Q2,MBB,Military Bank,HOSE,Banking,Commercial Bank,1,11.22,10.76,10.22,13.45,16.75,58.33,18.82,9140387.35,96164219.26,80,50,50,80.0,53.33,65.33,Positive Signal,Medium Risk,63.83,Neutral,3.16,3.79,6.97,7.6,80
2023Q2,SSI,SSI Securities,HOSE,Securities,Brokerage,1,17.89,21.87,14.31,27.97,46.52,66.33,29.6,19822995.82,311324304.2,80,50,50,96.67,10.0,65.5,Positive Signal,High Risk,62.0,Neutral,3.16,3.79,18.08,18.71,100
2023Q2,FPT,FPT Corporation,HOSE,Technology,IT Services,1,52.75,6.31,3.01,8.72,10.26,58.33,12.38,759244.03,38504491.26,80,50,50,30.0,93.33,59.83,Neutral,Low Risk,60.33,Neutral,3.16,3.79,2.52,3.15,60
2023Q2,KDH,Khang Dien House,HOSE,Real Estate,Residential Real Estate,1,23.14,5.13,4.75,14.05,17.34,53.97,26.5,1999883.94,44945321.61,100,50,50,36.67,23.33,58.83,Neutral,High Risk,60.33,Neutral,3.16,3.79,1.34,1.97,60
2023Q2,VHM,Vinhomes,HOSE,Real Estate,Residential Real Estate,1,52.96,4.56,3.76,10.98,10.43,47.27,26.72,1578728.26,80783078.54,85,50,50,66.67,20.0,59.25,Neutral,High Risk,60.0,Neutral,3.16,3.79,0.77,1.4,60
2023Q2,GVR,Vietnam Rubber Group,HOSE,Materials,Rubber / Industrial Materials,1,18.62,21.62,3.22,31.96,35.22,62.88,36.52,3297345.66,54695469.43,100,50,50,43.33,3.33,61.83,Neutral,High Risk,59.33,Neutral,3.16,3.79,17.83,18.46,100
2023Q2,VCI,Vietcap Securities,HOSE,Securities,Brokerage,1,20.08,13.83,5.02,15.73,55.18,63.98,32.46,5092465.76,93873339.02,80,50,50,76.67,6.67,62.17,Neutral,High Risk,58.67,Neutral,3.16,3.79,10.04,10.67,100
2023Q2,MWG,Mobile World,HOSE,Retail,Consumer Retail,1,41.95,11.04,10.19,12.2,-5.45,52.08,26.44,2841946.81,112097459.65,65,50,50,83.33,26.67,59.42,Neutral,High Risk,57.17,Neutral,3.16,3.79,7.25,7.88,80
2023Q2,HDB,HDBank,HOSE,Banking,Commercial Bank,1,9.98,1.32,0.0,4.83,15.24,54.72,18.7,2148538.95,21370440.99,90,50,50,10.0,56.67,53.67,Neutral,Medium Risk,56.67,Neutral,3.16,3.79,-2.47,-1.84,40
2023Q2,VNM,Vinamilk,HOSE,Consumer,Dairy,1,57.67,-4.57,7.41,-5.33,-6.83,65.71,18.06,2588881.5,144544053.65,50,50,50,86.67,60.0,53.5,Neutral,Medium Risk,56.5,Neutral,3.16,3.79,-8.36,-7.73,20
2023Q2,HCM,HSC Securities,HOSE,Securities,Brokerage,1,14.22,9.81,4.64,16.08,38.19,66.67,29.2,6019004.48,79669039.82,80,50,50,56.67,13.33,57.83,Neutral,High Risk,56.33,Neutral,3.16,3.79,6.02,6.65,80
2023Q2,TPB,TPBank,HOSE,Banking,Commercial Bank,1,12.96,10.2,-4.14,13.19,26.44,34.07,21.29,4444802.47,56295248.53,75,50,50,46.67,43.33,58.08,Neutral,Medium Risk,56.33,Neutral,3.16,3.79,6.41,7.04,80
2023Q2,POW,PV Power,HOSE,Utilities,Power Generation,1,11.08,1.56,-1.77,1.56,22.43,32.17,18.95,7194423.5,80152770.12,60,50,50,60.0,50.0,53.0,Neutral,Medium Risk,54.5,Neutral,3.16,3.79,-2.23,-1.6,40
2023Q2,VRE,Vincom Retail,HOSE,Real Estate,Retail Real Estate,1,25.88,-9.48,-0.19,-10.39,3.85,51.41,15.7,3013550.15,80335395.63,40,50,50,63.33,86.67,50.17,Neutral,Medium Risk,52.67,Neutral,3.16,3.79,-13.27,-12.64,20
2023Q2,TCB,Techcombank,HOSE,Banking,Commercial Bank,1,14.97,10.4,6.78,16.77,17.23,45.51,26.76,4265537.65,60671991.67,65,50,50,50.0,16.67,53.42,Neutral,High Risk,51.17,Neutral,3.16,3.79,6.61,7.24,80
2023Q2,VCB,Vietcombank,HOSE,Banking,Commercial Bank,1,56.23,7.76,6.5,7.89,26.42,46.45,20.74,686037.16,36823694.14,65,50,50,26.67,46.67,50.92,Neutral,Medium Risk,50.67,Neutral,3.16,3.79,3.97,4.6,60
2023Q2,PLX,Petrolimex,HOSE,Energy,Petroleum Distribution,1,34.18,-0.41,-0.26,1.21,20.86,41.38,15.81,712024.15,24545412.17,60,50,50,13.33,80.0,49.0,Weak Signal,Medium Risk,50.5,Neutral,3.16,3.79,-4.2,-3.57,40
2023Q2,PNJ,Phu Nhuan Jewelry,HOSE,Retail,Jewelry Retail,1,46.96,-1.51,7.58,-2.65,-6.51,64.46,15.7,588694.66,27409517.2,50,50,50,16.67,83.33,45.33,Weak Signal,Medium Risk,48.33,Weak Signal,3.16,3.79,-5.3,-4.67,20
2023Q2,MSN,Masan Group,HOSE,Consumer,Consumer Goods,1,75.2,-2.08,4.74,-5.05,-20.84,34.62,24.3,1083445.34,81740416.74,35,50,50,70.0,33.33,44.58,Weak Signal,High Risk,46.83,Weak Signal,3.16,3.79,-5.87,-5.24,20
2023Q2,BCM,Becamex IDC,HOSE,Industrial Parks,Industrial Real Estate,1,75.65,-5.15,1.93,-3.77,-0.75,34.09,12.22,142707.56,10934726.29,35,50,50,6.67,96.67,41.42,Weak Signal,Low Risk,43.67,Weak Signal,3.16,3.79,-8.94,-8.31,20
2023Q2,BID,BIDV,HOSE,Banking,Commercial Bank,1,31.44,-5.56,-1.26,-6.18,11.13,47.48,16.01,870076.61,28024790.3,25,50,50,20.0,76.67,38.92,Weak Signal,Medium Risk,40.67,Weak Signal,3.16,3.79,-9.35,-8.72,20
2023Q2,VJC,Vietjet Air,HOSE,Transportation,Airlines,1,72.54,-8.08,-3.28,-11.29,-15.42,34.0,14.7,527676.68,39473129.15,10,50,50,33.33,90.0,38.5,Weak Signal,Low Risk,39.5,Weak Signal,3.16,3.79,-11.87,-11.24,20
2023Q2,GAS,PV Gas,HOSE,Energy,Gas,1,64.07,-9.26,1.09,-9.17,-8.37,45.95,16.37,459691.68,30077620.62,20,50,50,23.33,70.0,37.5,Weak Signal,Medium Risk,39.0,Weak Signal,3.16,3.79,-13.05,-12.42,20
2023Q2,VIC,Vingroup,HOSE,Real Estate,Conglomerate / Real Estate,1,25.5,-12.07,-1.92,-5.03,-7.44,27.78,24.32,1981997.98,52445165.12,10,50,50,40.0,30.0,33.5,Risk Alert,High Risk,34.5,Risk Alert,3.16,3.79,-15.86,-15.23,20
2023Q2,SAB,Sabeco,HOSE,Consumer,Beverage,1,63.16,-14.34,-1.99,-16.19,-10.93,24.37,16.82,144924.15,9711616.38,0,50,50,3.33,66.67,29.17,Risk Alert,Medium Risk,29.67,Risk Alert,3.16,3.79,-18.13,-17.5,20
2023Q3,HDB,HDBank,HOSE,Banking,Commercial Bank,1,10.71,8.18,7.1,7.31,12.5,55.97,19.82,4485808.62,47455572.54,100,50,50,16.67,86.67,64.17,Neutral,Low Risk,63.67,Neutral,3.82,2.55,5.63,4.36,80
2023Q3,GAS,PV Gas,HOSE,Energy,Gas,1,77.69,19.98,8.95,21.26,10.14,66.44,19.78,605505.05,42837320.56,100,50,50,10.0,90.0,65.5,Positive Signal,Low Risk,63.0,Neutral,3.82,2.55,17.43,16.16,100
2023Q3,MBB,Military Bank,HOSE,Banking,Commercial Bank,1,11.81,5.26,1.37,5.26,19.41,46.0,19.44,11297142.13,134658010.02,70,50,50,66.67,93.33,62.83,Neutral,Low Risk,62.83,Neutral,3.82,2.55,2.71,1.44,60
2023Q3,VPB,VPBank,HOSE,Banking,Commercial Bank,1,18.78,9.31,4.04,9.31,3.81,47.51,27.45,18610361.51,343946898.09,75,50,50,83.33,46.67,63.92,Neutral,Medium Risk,62.17,Neutral,3.82,2.55,6.76,5.49,80
2023Q3,FPT,FPT Corporation,HOSE,Technology,IT Services,1,66.99,26.42,-0.86,27.0,38.07,35.26,22.0,2030786.78,130787361.34,75,50,50,60.0,73.33,65.08,Positive Signal,Medium Risk,61.33,Neutral,3.82,2.55,23.87,22.6,100
2023Q3,SSI,SSI Securities,HOSE,Securities,Brokerage,1,22.05,23.74,-1.69,23.25,57.73,43.71,42.34,25186377.51,541460027.13,75,50,50,96.67,10.0,64.25,Neutral,High Risk,60.5,Neutral,3.82,2.55,21.19,19.92,100
2023Q3,VNM,Vinamilk,HOSE,Consumer,Dairy,1,62.28,8.45,-4.13,7.99,2.23,20.21,18.77,3662307.68,227138309.85,50,50,50,76.67,96.67,61.67,Neutral,Low Risk,58.67,Neutral,3.82,2.55,5.9,4.63,80
2023Q3,HPG,Hoa Phat Group,HOSE,Steel,Steel,1,17.79,0.4,-2.57,0.57,26.44,35.8,28.85,27213226.65,506434200.83,60,50,50,93.33,40.0,57.0,Neutral,Medium Risk,58.5,Neutral,3.82,2.55,-2.15,-3.42,40
2023Q3,MWG,Mobile World,HOSE,Retail,Consumer Retail,1,51.44,23.48,-0.58,22.62,37.58,42.95,35.9,6986007.57,356169722.79,60,50,50,90.0,26.67,61.17,Neutral,High Risk,56.67,Neutral,3.82,2.55,20.93,19.66,100
2023Q3,STB,Sacombank,HOSE,Banking,Commercial Bank,1,30.65,3.2,-3.46,2.85,17.88,43.62,32.33,23885345.16,734398873.41,50,50,50,100.0,33.33,56.83,Neutral,High Risk,55.83,Neutral,3.82,2.55,0.65,-0.62,60
2023Q3,VJC,Vietjet Air,HOSE,Transportation,Airlines,1,76.38,5.19,1.84,5.29,-6.59,51.21,20.22,981562.33,74324362.91,65,50,50,36.67,83.33,56.08,Neutral,Low Risk,55.83,Neutral,3.82,2.55,2.64,1.37,60
2023Q3,VCB,Vietcombank,HOSE,Banking,Commercial Bank,1,58.11,3.34,-1.02,3.34,11.49,45.77,20.94,1250473.24,73995817.42,60,50,50,33.33,80.0,54.0,Neutral,Low Risk,53.5,Neutral,3.82,2.55,0.79,-0.48,60
2023Q3,CTG,VietinBank,HOSE,Banking,Commercial Bank,1,18.44,2.73,-3.86,1.82,3.6,36.68,28.11,6939728.78,132860120.08,50,50,50,63.33,43.33,52.33,Neutral,Medium Risk,51.33,Neutral,3.82,2.55,0.18,-1.09,60
2023Q3,ACB,ACB,HOSE,Banking,Commercial Bank,1,13.21,-0.9,-0.9,-0.9,6.28,39.86,18.66,8697272.27,118712542.14,35,50,50,53.33,100.0,50.75,Neutral,Low Risk,51.0,Neutral,3.82,2.55,-3.45,-4.72,40
2023Q3,TCB,Techcombank,HOSE,Banking,Commercial Bank,1,15.57,5.13,-0.7,4.01,21.45,42.38,25.12,5836274.17,90672568.37,50,50,50,40.0,63.33,50.83,Neutral,Medium Risk,49.83,Weak Signal,3.82,2.55,2.58,1.31,60
2023Q3,VCI,Vietcap Securities,HOSE,Securities,Brokerage,1,22.63,11.04,-8.93,12.7,30.43,35.35,44.95,5118655.59,122309649.37,60,50,50,56.67,6.67,52.17,Neutral,High Risk,49.67,Weak Signal,3.82,2.55,8.49,7.22,80
2023Q3,HCM,HSC Securities,HOSE,Securities,Brokerage,1,15.44,8.35,-0.13,8.58,26.04,36.99,41.23,6633008.57,105345193.13,60,50,50,46.67,16.67,51.67,Neutral,High Risk,49.17,Weak Signal,3.82,2.55,5.8,4.53,80
2023Q3,PLX,Petrolimex,HOSE,Energy,Petroleum Distribution,1,34.92,1.36,0.29,2.17,3.41,38.1,26.54,1484134.02,54254515.49,60,50,50,23.33,50.0,47.5,Weak Signal,Medium Risk,49.0,Weak Signal,3.82,2.55,-1.19,-2.46,40
2023Q3,TPB,TPBank,HOSE,Banking,Commercial Bank,1,12.85,-1.68,-6.07,-0.85,12.23,35.94,23.63,7883700.0,106996368.17,35,50,50,50.0,66.67,46.92,Weak Signal,Medium Risk,47.17,Weak Signal,3.82,2.55,-4.23,-5.5,40
2023Q3,GVR,Vietnam Rubber Group,HOSE,Materials,Rubber / Industrial Materials,1,18.71,-3.26,-5.6,0.48,32.6,37.81,41.64,3288045.97,67455142.05,60,50,50,30.0,13.33,42.83,Weak Signal,High Risk,46.33,Weak Signal,3.82,2.55,-5.81,-7.08,20
2023Q3,KDH,Khang Dien House,HOSE,Real Estate,Residential Real Estate,1,24.53,7.4,-8.02,6.01,20.9,37.5,36.23,1912901.6,49205918.44,50,50,50,20.0,23.33,43.83,Weak Signal,High Risk,42.83,Weak Signal,3.82,2.55,4.85,3.58,60
2023Q3,MSN,Masan Group,HOSE,Consumer,Consumer Goods,1,76.3,1.19,-4.63,1.46,-3.66,42.86,33.29,2000097.6,161922416.26,15,50,50,70.0,30.0,41.25,Weak Signal,High Risk,40.5,Weak Signal,3.82,2.55,-1.36,-2.63,40
2023Q3,PNJ,Phu Nhuan Jewelry,HOSE,Retail,Jewelry Retail,1,49.33,6.48,-2.01,5.05,2.26,26.3,23.21,917080.98,45579896.03,30,50,50,13.33,70.0,42.5,Weak Signal,Medium Risk,40.5,Weak Signal,3.82,2.55,3.93,2.66,60
2023Q3,VHM,Vinhomes,HOSE,Real Estate,Residential Real Estate,1,43.82,-18.6,-16.66,-17.26,-8.17,30.2,38.81,5130014.94,271777439.2,10,50,50,80.0,20.0,38.5,Weak Signal,High Risk,39.5,Weak Signal,3.82,2.55,-21.15,-22.42,20
2023Q3,VIC,Vingroup,HOSE,Real Estate,Conglomerate / Real Estate,1,23.42,-8.34,-26.12,-8.16,-12.77,22.56,49.4,11658529.41,350945769.39,10,50,50,86.67,3.33,37.83,Weak Signal,High Risk,38.83,Weak Signal,3.82,2.55,-10.89,-12.16,20
2023Q3,VRE,Vincom Retail,HOSE,Real Estate,Retail Real Estate,1,25.21,-3.34,-10.76,-2.59,-12.71,31.94,31.91,6345489.54,177381441.21,0,50,50,73.33,36.67,36.67,Weak Signal,High Risk,37.17,Weak Signal,3.82,2.55,-5.89,-7.16,20
2023Q3,BID,BIDV,HOSE,Banking,Commercial Bank,1,32.17,-0.31,-3.16,2.32,-4.0,32.19,25.87,1650213.75,55803193.7,15,50,50,26.67,56.67,37.42,Weak Signal,Medium Risk,36.67,Weak Signal,3.82,2.55,-2.86,-4.13,40
2023Q3,POW,PV Power,HOSE,Utilities,Power Generation,1,9.59,-12.74,-7.88,-13.45,-12.1,25.93,25.62,9363660.56,102175147.95,0,50,50,43.33,60.0,34.5,Risk Alert,Medium Risk,35.0,Weak Signal,3.82,2.55,-15.29,-16.56,20
2023Q3,SAB,Sabeco,HOSE,Consumer,Beverage,1,59.62,-5.66,-8.29,-5.6,-20.89,21.08,21.84,301288.59,19597314.35,10,50,50,6.67,76.67,33.17,Risk Alert,Medium Risk,34.17,Risk Alert,3.82,2.55,-8.21,-9.48,20
