quarter,ticker,company_name,exchange,sector,industry,is_vn30,close_price,quarter_return,return_1m,return_3m,return_6m,rsi14,volatility_63d,volume_avg,trading_value_avg,technical_score,fundamental_score,valuation_score,liquidity_score,risk_score,total_signal_score,signal_class,risk_level,base_total_signal_score,base_signal_class,vn30_return,vnindex_return,relative_strength_vs_vnindex,relative_strength_vs_vn30,relative_strength_score
2023Q3,BCM,Becamex IDC,HOSE,Industrial Parks,Industrial Real Estate,1,66.39,-14.08,-2.51,-12.24,-15.55,45.17,26.46,276360.94,19560353.62,10,50,50,3.33,53.33,30.33,Risk Alert,Medium Risk,31.33,Risk Alert,3.82,2.55,-16.63,-17.9,20
2023Q4,HPG,Hoa Phat Group,HOSE,Steel,Steel,1,18.9,6.66,5.23,12.7,6.48,56.25,31.12,23221083.91,413281771.48,100,50,50,93.33,40.0,71.0,Positive Signal,Medium Risk,70.5,Positive Signal,-3.06,-2.19,8.85,9.72,80
2023Q4,FPT,FPT Corporation,HOSE,Technology,IT Services,1,69.37,3.11,4.57,4.22,30.0,54.59,26.11,2298131.23,153643900.82,90,50,50,80.0,63.33,68.83,Positive Signal,Medium Risk,67.83,Positive Signal,-3.06,-2.19,5.3,6.17,80
2023Q4,CTG,VietinBank,HOSE,Banking,Commercial Bank,1,18.59,1.14,3.05,4.09,2.82,54.86,19.46,3089692.2,55673690.81,100,50,50,36.67,93.33,65.83,Positive Signal,Low Risk,67.33,Positive Signal,-3.06,-2.19,3.33,4.2,60
2023Q4,SSI,SSI Securities,HOSE,Securities,Brokerage,1,22.75,2.2,4.79,8.64,23.78,51.85,46.14,22677089.06,493027219.46,90,50,50,100.0,10.0,64.5,Neutral,High Risk,65.5,Positive Signal,-3.06,-2.19,4.39,5.26,60
2023Q4,ACB,ACB,HOSE,Banking,Commercial Bank,1,14.45,9.14,8.89,10.64,8.65,83.58,19.84,5950153.22,81115121.14,85,50,50,50.0,90.0,67.75,Positive Signal,Low Risk,64.5,Neutral,-3.06,-2.19,11.33,12.2,100
2023Q4,VJC,Vietjet Air,HOSE,Transportation,Airlines,1,83.07,9.63,5.88,10.32,14.77,69.01,30.55,939020.37,75395200.74,100,50,50,46.67,43.33,66.33,Positive Signal,Medium Risk,63.83,Neutral,-3.06,-2.19,11.82,12.69,100
2023Q4,HCM,HSC Securities,HOSE,Securities,Brokerage,1,17.28,9.99,16.91,17.95,14.74,67.18,48.22,6133700.97,93514555.04,100,50,50,63.33,6.67,65.17,Positive Signal,High Risk,62.67,Neutral,-3.06,-2.19,12.18,13.05,100
2023Q4,MBB,Military Bank,HOSE,Banking,Commercial Bank,1,11.91,0.25,4.75,3.3,5.4,73.53,19.0,7440236.52,85816822.46,75,50,50,53.33,96.67,62.42,Neutral,Low Risk,62.67,Neutral,-3.06,-2.19,2.44,3.31,60
2023Q4,VCI,Vietcap Securities,HOSE,Securities,Brokerage,1,23.45,2.27,2.99,9.89,7.52,53.36,53.59,6440510.63,141171634.08,90,50,50,76.67,3.33,60.33,Neutral,High Risk,61.33,Neutral,-3.06,-2.19,4.46,5.33,60
2023Q4,HDB,HDBank,HOSE,Banking,Commercial Bank,1,12.53,18.77,12.78,18.77,25.8,74.49,23.53,8010875.97,89996350.67,75,50,50,56.67,76.67,64.92,Neutral,Medium Risk,61.17,Neutral,-3.06,-2.19,20.96,21.83,100
2023Q4,KDH,Khang Dien House,HOSE,Real Estate,Residential Real Estate,1,25.95,6.27,0.62,9.4,13.62,50.0,33.96,1472941.69,37506184.46,100,50,50,20.0,36.67,59.67,Neutral,Medium Risk,59.17,Neutral,-3.06,-2.19,8.46,9.33,80
2023Q4,PNJ,Phu Nhuan Jewelry,HOSE,Retail,Jewelry Retail,1,54.41,10.14,6.83,12.14,17.44,78.84,20.3,659294.78,33371711.39,85,50,50,16.67,86.67,62.42,Neutral,Low Risk,59.17,Neutral,-3.06,-2.19,12.33,13.2,100
2023Q4,BID,BIDV,HOSE,Banking,Commercial Bank,1,35.47,11.26,11.72,17.68,11.16,70.74,24.4,937211.51,29844194.43,85,50,50,10.0,70.0,59.75,Neutral,Medium Risk,56.5,Neutral,-3.06,-2.19,13.45,14.32,100
2023Q4,GVR,Vietnam Rubber Group,HOSE,Materials,Rubber / Industrial Materials,1,20.71,5.77,5.99,13.6,6.31,64.36,41.42,2302779.43,44416626.63,90,50,50,26.67,16.67,56.17,Neutral,High Risk,55.17,Neutral,-3.06,-2.19,7.96,8.83,80
2023Q4,VIC,Vingroup,HOSE,Real Estate,Conglomerate / Real Estate,1,22.3,-4.9,6.8,0.22,-13.06,60.0,29.93,4743134.15,103200863.39,55,50,50,66.67,50.0,52.75,Neutral,Medium Risk,54.0,Neutral,-3.06,-2.19,-2.71,-1.84,40
2023Q4,VHM,Vinhomes,HOSE,Real Estate,Residential Real Estate,1,41.6,-5.58,4.6,-1.93,-23.54,67.49,35.78,6442463.86,255973670.39,50,50,50,86.67,26.67,52.17,Neutral,High Risk,53.17,Neutral,-3.06,-2.19,-3.39,-2.52,40
2023Q4,TPB,TPBank,HOSE,Banking,Commercial Bank,1,12.53,-0.56,2.37,4.24,-4.13,51.96,24.67,4961243.49,60610961.43,55,50,50,40.0,66.67,52.42,Neutral,Medium Risk,51.67,Neutral,-3.06,-2.19,1.63,2.5,60
2023Q4,TCB,Techcombank,HOSE,Banking,Commercial Bank,1,14.71,-4.11,7.77,-2.19,-0.68,61.58,27.57,3239791.29,46038163.42,60,50,50,33.33,56.67,49.67,Weak Signal,Medium Risk,51.17,Neutral,-3.06,-2.19,-1.92,-1.05,40
2023Q4,MWG,Mobile World,HOSE,Retail,Consumer Retail,1,41.86,-17.53,11.18,-12.65,-0.1,52.06,44.75,9002969.95,366511234.44,40,50,50,90.0,13.33,46.83,Weak Signal,High Risk,49.33,Weak Signal,-3.06,-2.19,-15.34,-14.47,20
2023Q4,VPB,VPBank,HOSE,Banking,Commercial Bank,1,17.44,-7.58,0.52,-4.07,1.51,45.87,26.84,11077221.17,198722528.3,25,50,50,83.33,60.0,46.75,Weak Signal,Medium Risk,48.5,Weak Signal,-3.06,-2.19,-5.39,-4.52,20
2023Q4,STB,Sacombank,HOSE,Banking,Commercial Bank,1,27.95,-9.4,1.64,-4.28,-6.37,51.14,34.02,16276967.48,467237288.98,25,50,50,96.67,33.33,46.08,Weak Signal,Medium Risk,47.83,Weak Signal,-3.06,-2.19,-7.21,-6.34,20
2023Q4,VNM,Vinamilk,HOSE,Consumer,Dairy,1,57.16,-9.91,1.04,-7.97,-0.33,37.07,20.83,2302903.63,134788053.57,20,50,50,73.33,83.33,46.33,Weak Signal,Low Risk,47.83,Weak Signal,-3.06,-2.19,-7.72,-6.85,20
2023Q4,MSN,Masan Group,HOSE,Consumer,Consumer Goods,1,67.0,-13.44,10.74,-9.46,-11.38,47.97,39.07,2005448.63,130455453.76,35,50,50,70.0,20.0,43.25,Weak Signal,High Risk,45.5,Weak Signal,-3.06,-2.19,-11.25,-10.38,20
2023Q4,VCB,Vietcombank,HOSE,Banking,Commercial Bank,1,53.33,-7.16,-5.19,-6.94,-5.16,29.15,17.67,1096279.62,61883857.75,10,50,50,43.33,100.0,43.0,Weak Signal,Low Risk,42.0,Weak Signal,-3.06,-2.19,-4.97,-4.1,40
2023Q4,POW,PV Power,HOSE,Utilities,Power Generation,1,9.3,-4.22,0.0,0.43,-16.06,33.33,21.65,4884094.25,45851848.25,15,50,50,30.0,80.0,40.25,Weak Signal,Low Risk,39.5,Weak Signal,-3.06,-2.19,-2.03,-1.16,40
2023Q4,BCM,Becamex IDC,HOSE,Industrial Parks,Industrial Real Estate,1,60.9,-8.13,8.07,-6.92,-21.09,33.33,27.61,327257.91,19604848.69,35,50,50,3.33,53.33,36.58,Weak Signal,Medium Risk,38.83,Weak Signal,-3.06,-2.19,-5.94,-5.07,20
2023Q4,VRE,Vincom Retail,HOSE,Real Estate,Retail Real Estate,1,22.5,-13.23,5.44,-11.42,-14.35,43.36,35.45,3974455.55,91461672.71,10,50,50,60.0,30.0,36.5,Weak Signal,High Risk,37.5,Weak Signal,-3.06,-2.19,-11.04,-10.17,20
2023Q4,GAS,PV Gas,HOSE,Energy,Gas,1,64.67,-15.45,-1.31,-12.51,-1.28,29.45,23.88,601333.55,40876339.24,10,50,50,23.33,73.33,35.33,Weak Signal,Medium Risk,36.33,Weak Signal,-3.06,-2.19,-13.26,-12.39,20
2023Q4,PLX,Petrolimex,HOSE,Energy,Petroleum Distribution,1,32.13,-7.99,-1.71,-4.15,-11.9,35.42,30.12,838359.11,27130135.98,15,50,50,6.67,46.67,31.42,Risk Alert,Medium Risk,32.67,Risk Alert,-3.06,-2.19,-5.8,-4.93,20
2023Q4,SAB,Sabeco,HOSE,Consumer,Beverage,1,51.81,-13.69,-3.09,-10.38,-17.97,34.49,35.78,586190.35,30988326.74,0,50,50,13.33,23.33,26.33,Risk Alert,High Risk,26.83,Risk Alert,-3.06,-2.19,-11.5,-10.63,20
2024Q1,SSI,SSI Securities,HOSE,Securities,Brokerage,1,26.7,18.46,4.05,18.3,16.64,63.87,20.87,24067727.25,595348321.49,100,50,50,96.67,73.33,72.83,Positive Signal,Medium Risk,74.33,Positive Signal,14.6,13.46,5.0,3.86,60
2024Q1,HPG,Hoa Phat Group,HOSE,Steel,Steel,1,20.46,10.24,-2.43,10.24,14.17,54.29,19.6,26197386.0,517741456.67,90,50,50,93.33,80.0,68.5,Positive Signal,Medium Risk,71.5,Positive Signal,14.6,13.46,-3.22,-4.36,40
2024Q1,STB,Sacombank,HOSE,Banking,Commercial Bank,1,31.6,13.87,0.16,14.91,-0.63,63.21,20.27,20586076.66,628986866.92,85,50,50,100.0,76.67,69.92,Positive Signal,Medium Risk,70.67,Positive Signal,14.6,13.46,0.41,-0.73,60
2024Q1,FPT,FPT Corporation,HOSE,Technology,IT Services,1,84.1,21.48,6.88,21.36,23.55,64.72,21.13,2543445.17,195957846.04,100,50,50,63.33,66.67,69.17,Positive Signal,Medium Risk,68.67,Positive Signal,14.6,13.46,8.02,6.88,80
2024Q1,MBB,Military Bank,HOSE,Banking,Commercial Bank,1,16.22,34.72,5.19,38.04,37.34,72.94,25.63,22918061.32,336288827.01,85,50,50,86.67,36.67,67.92,Positive Signal,Medium Risk,64.67,Neutral,14.6,13.46,21.26,20.12,100
2024Q1,ACB,ACB,HOSE,Banking,Commercial Bank,1,17.23,16.58,1.77,22.03,29.55,68.04,22.74,11883630.1,192352778.85,90,50,50,60.0,60.0,63.5,Neutral,Medium Risk,64.5,Neutral,14.6,13.46,3.12,1.98,60
2024Q1,VPB,VPBank,HOSE,Banking,Commercial Bank,1,17.94,4.79,-0.72,6.79,-1.32,69.96,21.04,14433810.97,253636324.42,75,50,50,76.67,70.0,59.25,Neutral,Medium Risk,63.5,Neutral,14.6,13.46,-8.67,-9.81,20
2024Q1,PNJ,Phu Nhuan Jewelry,HOSE,Retail,Jewelry Retail,1,62.95,15.7,10.05,17.75,27.12,51.66,22.72,1436436.73,84886850.41,100,50,50,30.0,63.33,61.83,Neutral,Medium Risk,63.33,Neutral,14.6,13.46,2.24,1.1,60
2024Q1,VCI,Vietcap Securities,HOSE,Securities,Brokerage,1,29.52,27.19,17.99,30.45,25.14,68.17,28.47,6882391.95,177353354.9,100,50,50,56.67,23.33,65.83,Positive Signal,High Risk,63.33,Neutral,14.6,13.46,13.73,12.59,100
2024Q1,HCM,HSC Securities,HOSE,Securities,Brokerage,1,21.46,19.42,5.56,29.51,34.8,61.07,28.87,8725988.66,172550828.09,100,50,50,53.33,20.0,63.0,Neutral,High Risk,62.5,Neutral,14.6,13.46,5.96,4.82,80
2024Q1,MWG,Mobile World,HOSE,Retail,Consumer Retail,1,49.98,20.38,10.62,19.83,-1.73,68.67,30.49,10389522.29,471681507.13,85,50,50,90.0,10.0,63.75,Neutral,High Risk,62.5,Neutral,14.6,13.46,6.92,5.78,80
2024Q1,KDH,Khang Dien House,HOSE,Real Estate,Residential Real Estate,1,31.24,22.51,9.08,24.76,28.35,62.02,25.62,3093197.37,88206688.49,100,50,50,33.33,40.0,62.0,Neutral,Medium Risk,61.5,Neutral,14.6,13.46,9.05,7.91,80
2024Q1,PLX,Petrolimex,HOSE,Energy,Petroleum Distribution,1,34.73,7.96,4.04,7.62,2.03,59.37,19.44,1037651.9,35085958.0,100,50,50,3.33,83.33,55.83,Neutral,Medium Risk,61.33,Neutral,14.6,13.46,-5.5,-6.64,20
2024Q1,VCB,Vietcombank,HOSE,Banking,Commercial Bank,1,63.02,13.65,-2.48,16.02,8.08,53.32,22.9,1501291.02,91930641.33,90,50,50,40.0,56.67,60.17,Neutral,Medium Risk,61.17,Neutral,14.6,13.46,0.19,-0.95,60
2024Q1,HDB,HDBank,HOSE,Banking,Commercial Bank,1,14.87,21.09,3.41,25.8,38.45,61.69,22.97,6646183.92,91511546.92,90,50,50,36.67,53.33,61.33,Neutral,Medium Risk,60.33,Neutral,14.6,13.46,7.63,6.49,80
2024Q1,GAS,PV Gas,HOSE,Energy,Gas,1,68.7,6.08,3.62,4.84,-9.78,62.26,17.16,1091709.27,73171880.17,85,50,50,20.0,90.0,55.25,Neutral,Low Risk,60.0,Neutral,14.6,13.46,-7.38,-8.52,20
2024Q1,GVR,Vietnam Rubber Group,HOSE,Materials,Rubber / Industrial Materials,1,32.38,58.26,15.89,64.12,69.97,64.86,41.61,4111334.05,111784292.94,100,50,50,43.33,3.33,61.83,Neutral,High Risk,59.33,Neutral,14.6,13.46,44.8,43.66,100
2024Q1,CTG,VietinBank,HOSE,Banking,Commercial Bank,1,24.38,30.65,0.0,32.14,28.11,58.63,28.17,9476550.68,218471092.67,80,50,50,66.67,26.67,62.67,Neutral,Medium Risk,59.17,Neutral,14.6,13.46,17.19,16.05,100
2024Q1,TPB,TPBank,HOSE,Banking,Commercial Bank,1,13.75,10.44,-3.78,12.06,7.34,62.01,25.26,12749945.53,172336783.25,80,50,50,50.0,43.33,55.83,Neutral,Medium Risk,58.33,Neutral,14.6,13.46,-3.02,-4.16,40
2024Q1,MSN,Masan Group,HOSE,Consumer,Consumer Goods,1,74.2,8.48,5.4,11.75,-2.37,40.0,29.52,4091492.86,298125007.69,70,50,50,80.0,16.67,55.17,Neutral,High Risk,57.17,Neutral,14.6,13.46,-4.98,-6.12,40
2024Q1,TCB,Techcombank,HOSE,Banking,Commercial Bank,1,22.0,48.15,12.7,53.63,45.89,76.91,30.05,8330510.88,153385664.61,85,50,50,46.67,13.33,59.58,Neutral,High Risk,56.33,Neutral,14.6,13.46,34.69,33.55,100
2024Q1,VHM,Vinhomes,HOSE,Real Estate,Residential Real Estate,1,41.26,-0.36,-1.27,3.98,-5.0,52.98,25.16,7436003.24,308349914.01,55,50,50,83.33,46.67,52.92,Neutral,Medium Risk,56.17,Neutral,14.6,13.46,-13.82,-14.96,20
2024Q1,BID,BIDV,HOSE,Banking,Commercial Bank,1,42.58,21.17,-1.71,20.59,32.24,58.89,27.73,1912224.73,78082004.8,80,50,50,23.33,30.0,54.5,Neutral,Medium Risk,53.0,Neutral,14.6,13.46,7.71,6.57,80
2024Q1,VRE,Vincom Retail,HOSE,Real Estate,Retail Real Estate,1,24.97,11.92,-2.42,10.49,-0.95,59.21,36.98,10239874.42,249214606.12,55,50,50,73.33,6.67,49.42,Weak Signal,High Risk,50.67,Neutral,14.6,13.46,-1.54,-2.68,40
2024Q1,VNM,Vinamilk,HOSE,Consumer,Dairy,1,57.9,0.26,-4.89,1.6,-9.94,33.33,15.34,3762306.54,221476398.66,25,50,50,70.0,96.67,48.42,Weak Signal,Low Risk,50.17,Neutral,14.6,13.46,-13.2,-14.34,20
2024Q1,VIC,Vingroup,HOSE,Real Estate,Conglomerate / Real Estate,1,23.82,8.27,5.87,9.77,5.4,71.03,25.86,3622308.63,82166924.61,65,50,50,26.67,33.33,45.58,Weak Signal,Medium Risk,49.33,Weak Signal,14.6,13.46,-5.19,-6.33,20
2024Q1,VJC,Vietjet Air,HOSE,Transportation,Airlines,1,79.23,-3.73,-0.09,-4.45,3.31,50.0,9.88,655062.86,52555060.94,50,50,50,10.0,100.0,46.0,Weak Signal,Low Risk,49.0,Weak Signal,14.6,13.46,-17.19,-18.33,20
2024Q1,BCM,Becamex IDC,HOSE,Industrial Parks,Industrial Real Estate,1,62.84,4.86,2.53,4.86,-0.62,38.28,24.06,887416.32,55664665.36,50,50,50,13.33,50.0,41.5,Weak Signal,Medium Risk,44.5,Weak Signal,14.6,13.46,-8.6,-9.74,20
2024Q1,POW,PV Power,HOSE,Utilities,Power Generation,1,9.42,1.29,-2.18,0.86,-2.99,39.76,16.52,5959700.49,56953244.76,25,50,50,16.67,93.33,40.08,Weak Signal,Low Risk,41.83,Weak Signal,14.6,13.46,-12.17,-13.31,20
2024Q1,SAB,Sabeco,HOSE,Consumer,Beverage,1,47.76,-8.54,-3.06,-6.33,-21.63,28.32,18.87,1060188.49,52469842.61,10,50,50,6.67,86.67,34.17,Risk Alert,Medium Risk,35.17,Weak Signal,14.6,13.46,-22.0,-23.14,20
2024Q2,FPT,FPT Corporation,HOSE,Technology,IT Services,1,109.09,29.38,11.93,31.18,58.91,59.34,29.66,4927490.07,490096289.29,100,50,50,96.67,40.0,73.5,Positive Signal,Medium Risk,71.0,Positive Signal,-1.11,-2.82,32.2,30.49,100
2024Q2,VPB,VPBank,HOSE,Banking,Commercial Bank,1,17.84,-0.06,3.9,0.22,7.92,56.36,27.41,19967755.26,354414431.6,100,50,50,80.0,56.67,68.67,Positive Signal,Medium Risk,70.17,Positive Signal,-1.11,-2.82,2.76,1.05,60
2024Q2,HPG,Hoa Phat Group,HOSE,Steel,Steel,1,21.05,3.39,0.14,1.74,14.4,33.77,23.48,22861718.93,477173252.26,75,50,50,93.33,83.33,69.08,Positive Signal,Medium Risk,67.33,Positive Signal,-1.11,-2.82,6.21,4.5,80
2024Q2,MWG,Mobile World,HOSE,Retail,Consumer Retail,1,61.51,22.36,0.15,24.04,47.47,49.45,29.71,10349780.03,579386500.03,75,50,50,100.0,33.33,67.08,Positive Signal,Medium Risk,63.33,Neutral,-1.11,-2.82,25.18,23.47,100
2024Q2,POW,PV Power,HOSE,Utilities,Power Generation,1,12.31,31.24,16.35,30.13,31.8,64.67,35.59,12554073.85,134519874.63,100,50,50,43.33,16.67,63.17,Neutral,High Risk,60.67,Neutral,-1.11,-2.82,34.06,32.35,100
2024Q2,MSN,Masan Group,HOSE,Consumer,Consumer Goods,1,74.7,1.77,-3.24,-0.93,17.27,39.29,29.67,5607343.56,411949129.29,60,50,50,86.67,36.67,57.67,Neutral,Medium Risk,57.17,Neutral,-1.11,-2.82,4.59,2.88,60
2024Q2,TCB,Techcombank,HOSE,Banking,Commercial Bank,1,22.28,1.5,-0.22,5.74,57.12,32.79,28.2,10855783.38,242463169.4,60,50,50,70.0,53.33,56.83,Neutral,Medium Risk,56.33,Neutral,-1.11,-2.82,4.32,2.61,60
2024Q2,ACB,ACB,HOSE,Banking,Commercial Bank,1,17.13,-0.41,-3.66,1.18,21.83,38.12,18.25,9475289.97,162195127.78,50,50,50,56.67,90.0,56.0,Neutral,Low Risk,55.0,Neutral,-1.11,-2.82,2.41,0.7,60
2024Q2,KDH,Khang Dien House,HOSE,Real Estate,Residential Real Estate,1,30.5,-2.9,2.38,-3.91,22.79,46.5,27.21,3313052.39,99804358.18,70,50,50,33.33,60.0,52.5,Neutral,Medium Risk,54.5,Neutral,-1.11,-2.82,-0.08,-1.79,40
2024Q2,MBB,Military Bank,HOSE,Banking,Commercial Bank,1,14.49,-8.87,1.61,-10.33,25.02,42.16,25.55,18504247.72,274902830.54,45,50,50,73.33,70.0,51.25,Neutral,Medium Risk,54.0,Neutral,-1.11,-2.82,-6.05,-7.76,20
2024Q2,PNJ,Phu Nhuan Jewelry,HOSE,Retail,Jewelry Retail,1,60.78,-3.45,2.79,-2.06,14.51,54.91,24.57,1387015.44,85042891.89,60,50,50,26.67,76.67,50.67,Neutral,Medium Risk,52.17,Neutral,-1.11,-2.82,-0.63,-2.34,40
2024Q2,PLX,Petrolimex,HOSE,Energy,Petroleum Distribution,1,39.57,13.48,-1.1,11.81,24.98,45.63,29.78,1749327.62,67217997.05,75,50,50,13.33,30.0,53.75,Neutral,Medium Risk,50.0,Neutral,-1.11,-2.82,16.3,14.59,100
2024Q2,GVR,Vietnam Rubber Group,HOSE,Materials,Rubber / Industrial Materials,1,33.41,3.79,-5.0,2.39,71.86,41.73,46.08,4797382.74,154941242.37,65,50,50,50.0,3.33,52.08,Neutral,High Risk,49.83,Weak Signal,-1.11,-2.82,6.61,4.9,80
2024Q2,BCM,Becamex IDC,HOSE,Industrial Parks,Industrial Real Estate,1,61.77,-0.79,4.59,-2.15,3.23,51.66,39.44,842536.07,49934034.27,85,50,50,3.33,6.67,48.42,Weak Signal,High Risk,49.17,Weak Signal,-1.11,-2.82,2.03,0.32,60
2024Q2,STB,Sacombank,HOSE,Banking,Commercial Bank,1,28.8,-8.28,3.41,-6.8,8.27,23.86,29.92,16228270.05,475257024.6,25,50,50,90.0,26.67,44.42,Weak Signal,Medium Risk,46.17,Weak Signal,-1.11,-2.82,-5.46,-7.17,20
2024Q2,HDB,HDBank,HOSE,Banking,Commercial Bank,1,14.2,-4.12,-0.42,-4.7,22.73,37.78,25.78,7347335.95,106953487.53,35,50,50,36.67,66.67,44.92,Weak Signal,Medium Risk,45.17,Weak Signal,-1.11,-2.82,-1.3,-3.01,40
2024Q2,HCM,HSC Securities,HOSE,Securities,Brokerage,1,19.06,-11.92,-9.5,-9.63,15.38,24.3,38.02,7832688.33,161962922.96,45,50,50,53.33,10.0,42.25,Weak Signal,High Risk,45.0,Weak Signal,-1.11,-2.82,-9.1,-10.81,20
2024Q2,CTG,VietinBank,HOSE,Banking,Commercial Bank,1,21.26,-11.45,-2.52,-12.69,16.75,20.14,31.27,9301482.36,210210597.48,35,50,50,63.33,23.33,42.58,Weak Signal,Medium Risk,44.83,Weak Signal,-1.11,-2.82,-8.63,-10.34,20
2024Q2,VNM,Vinamilk,HOSE,Consumer,Dairy,1,56.1,-2.25,-0.3,-3.26,-1.42,31.84,17.5,3850697.84,218823929.37,10,50,50,66.67,93.33,47.83,Weak Signal,Low Risk,44.83,Weak Signal,-1.11,-2.82,0.57,-1.14,60
2024Q2,SSI,SSI Securities,HOSE,Securities,Brokerage,1,23.54,-12.52,-2.61,-11.84,5.42,34.19,28.27,16049404.28,399500161.59,15,50,50,83.33,50.0,43.25,Weak Signal,Medium Risk,44.5,Weak Signal,-1.11,-2.82,-9.7,-11.41,20
2024Q2,VCB,Vietcombank,HOSE,Banking,Commercial Bank,1,56.58,-10.5,-3.84,-11.07,5.32,25.78,12.91,1521988.93,90687156.55,25,50,50,30.0,100.0,42.75,Weak Signal,Low Risk,44.5,Weak Signal,-1.11,-2.82,-7.68,-9.39,20
2024Q2,VHM,Vinhomes,HOSE,Real Estate,Residential Real Estate,1,36.26,-12.22,-3.46,-11.41,-6.33,30.26,17.05,8916562.98,350445762.9,0,50,50,76.67,96.67,43.17,Weak Signal,Low Risk,43.67,Weak Signal,-1.11,-2.82,-9.4,-11.11,20
2024Q2,SAB,Sabeco,HOSE,Consumer,Beverage,1,50.54,5.64,1.18,4.36,-0.88,9.4,28.96,1236673.43,62723351.23,50,50,50,10.0,43.33,46.33,Weak Signal,Medium Risk,43.33,Weak Signal,-1.11,-2.82,8.46,6.75,80
2024Q2,GAS,PV Gas,HOSE,Energy,Gas,1,65.61,-4.97,-5.56,-4.61,2.53,17.45,19.1,1242173.34,83702413.54,25,50,50,23.33,86.67,42.42,Weak Signal,Low Risk,42.17,Weak Signal,-1.11,-2.82,-2.15,-3.86,40
2024Q2,VCI,Vietcap Securities,HOSE,Securities,Brokerage,1,25.29,-14.01,-3.36,-12.7,11.36,38.97,37.07,5702210.69,152826671.01,35,50,50,46.67,13.33,39.08,Weak Signal,High Risk,41.33,Weak Signal,-1.11,-2.82,-11.19,-12.9,20
2024Q2,TPB,TPBank,HOSE,Banking,Commercial Bank,1,12.73,-5.7,-0.08,-7.89,4.6,39.29,28.49,8329206.44,109009132.19,25,50,50,40.0,46.67,40.92,Weak Signal,Medium Risk,40.67,Weak Signal,-1.11,-2.82,-2.88,-4.59,40
2024Q2,BID,BIDV,HOSE,Banking,Commercial Bank,1,35.35,-16.98,-9.34,-17.62,3.48,19.42,25.32,1747020.56,69333274.52,25,50,50,16.67,73.33,38.08,Weak Signal,Medium Risk,39.83,Weak Signal,-1.11,-2.82,-14.16,-15.87,20
2024Q2,VRE,Vincom Retail,HOSE,Real Estate,Retail Real Estate,1,19.75,-20.43,-5.32,-21.19,-10.92,32.6,32.42,8153906.52,175750278.96,10,50,50,60.0,20.0,35.5,Weak Signal,Medium Risk,36.5,Weak Signal,-1.11,-2.82,-17.61,-19.32,20
